DAQ_time[ms]	CH 000 (Addr. 0)	CH 001 (Addr. 1)	CH 002 (Addr. 2)	CH 003 (Addr. 3)	CH 004 (Addr. 4)	CH 005 (Addr. 5)	CH 006 (Addr. 6)	CH 007 (Addr. 7)	CH 008 (Addr. 8)	CH 009 (Addr. 9)	CH 010 (Addr. 10)	CH 011 (Addr. 11)	CH 012 (Addr. 12)	CH 013 (Addr. 13)	CH 014 (Addr. 14)	CH 015 (Addr. 15)	CH 016 (Addr. 16)	CH 017 (Addr. 17)	CH 018 (Addr. 18)	CH 019 (Addr. 19)	CH 020 (Addr. 20)	CH 021 (Addr. 21)	CH 022 (Addr. 22)	CH 023 (Addr. 23)	CH 024 (Addr. 24)	CH 025 (Addr. 25)	CH 026 (Addr. 26)	CH 027 (Addr. 27)	CH 028 (Addr. 28)	CH 029 (Addr. 29)	CH 030 (Addr. 30)	CH 031 (Addr. 32)	CH 032 (Addr. 33)	CH 033 (Addr. 34)	CH 034 (Addr. 35)	CH 035 (Addr. 36)	CH 036 (Addr. 37)	CH 037 (Addr. 38)	CH 038 (Addr. 39)	CH 039 (Addr. 40)	CH 040 (Addr. 41)	CH 041 (Addr. 42)	CH 042 (Addr. 43)	CH 043 (Addr. 44)	CH 044 (Addr. 45)	CH 045 (Addr. 46)	CH 046 (Addr. 47)	CH 047 (Addr. 48)	CH 048 (Addr. 49)	CH 049 (Addr. 50)	CH 050 (Addr. 51)	CH 051 (Addr. 52)	CH 052 (Addr. 53)	CH 053 (Addr. 54)	CH 054 (Addr. 55)	CH 055 (Addr. 56)	CH 056 (Addr. 57)	CH 057 (Addr. 58)	CH 058 (Addr. 59)	CH 059 (Addr. 60)	CH 060 (Addr. 61)	CH 061 (Addr. 62)	CH 062 (Addr. 63)	CH 063 (Addr. 96)	CH 064 (Addr. 97)	CH 065 (Addr. 98)	CH 066 (Addr. 99)	CH 067 (Addr. 100)	CH 068 (Addr. 101)	CH 069 (Addr. 102)	CH 070 (Addr. 103)	CH 071 (Addr. 104)	CH 072 (Addr. 105)	CH 073 (Addr. 106)	CH 074 (Addr. 107)	CH 075 (Addr. 108)	CH 076 (Addr. 109)	CH 077 (Addr. 110)	CH 078 (Addr. 111)	CH 079 (Addr. 112)	CH 080 (Addr. 113)	CH 081 (Addr. 114)	CH 082 (Addr. 115)	CH 083 (Addr. 116)	CH 084 (Addr. 117)	CH 085 (Addr. 118)	CH 086 (Addr. 119)	CH 087 (Addr. 120)	CH 088 (Addr. 121)	CH 089 (Addr. 122)	CH 090 (Addr. 123)	CH 091 (Addr. 124)	CH 092 (Addr. 125)	CH 093 (Addr. 126)	CH 094 (Addr. 127)	CH 095 (Addr. 64)	CH 096 (Addr. 65)	CH 097 (Addr. 66)	CH 098 (Addr. 67)	CH 099 (Addr. 68)	CH 100 (Addr. 69)	CH 101 (Addr. 70)	CH 102 (Addr. 71)	CH 103 (Addr. 72)	CH 104 (Addr. 73)	CH 105 (Addr. 74)	CH 106 (Addr. 75)	CH 107 (Addr. 76)	CH 108 (Addr. 77)	CH 109 (Addr. 78)	CH 110 (Addr. 79)	CH 111 (Addr. 80)	CH 112 (Addr. 81)	CH 113 (Addr. 82)	CH 114 (Addr. 83)	CH 115 (Addr. 84)	CH 116 (Addr. 85)	CH 117 (Addr. 86)	CH 118 (Addr. 87)	CH 119 (Addr. 88)	CH 120 (Addr. 89)	CH 121 (Addr. 90)	CH 122 (Addr. 91)	CH 123 (Addr. 92)	CH 124 (Addr. 93)	CH 125 (Addr. 94)	CH 126 (Addr. 95)	CH 127 (Addr. 31)
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0	0	0	0	0	0	0	0	0	0	0	3	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0	0	0	0	0	4	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
500	0	0	0	0	0	0	0	0	0	0	0	5	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
600	1	0	0	0	0	0	0	0	0	0	0	6	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	2	1	2	2	2	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
700	1	0	0	0	0	0	0	0	0	0	0	8	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
800	1	0	1	1	0	0	0	0	0	0	0	10	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	2	2	1	2	2	2	2	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
900	1	0	1	1	0	0	0	0	0	0	0	12	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1000	1	0	1	1	0	0	0	0	0	0	0	13	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1100	1	0	1	1	0	1	1	0	0	0	0	14	-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1200	1	0	1	1	0	1	1	0	1	0	0	15	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1300	1	0	1	1	0	1	1	0	1	0	0	16	-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
1400	1	0	1	1	0	1	1	0	1	0	0	18	-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	2	1	2	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
1500	1	1	1	1	1	1	1	1	1	1	1	20	-17	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2
1600	1	1	1	1	1	1	1	1	1	1	1	22	-19	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2
1700	1	1	1	1	1	1	1	1	1	1	1	24	-20	-1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2
1800	1	1	1	1	1	1	1	1	1	1	1	25	-21	-1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2
1900	1	1	1	1	1	1	1	1	1	1	1	26	-23	-1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	2
2000	1	1	1	1	1	1	1	1	1	1	1	27	-23	-1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	2	2	3	2	2	3	1	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	2	1	2	2	2	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	2	-1	0	0	1	0	0	0	1	2
2100	1	1	1	1	1	1	1	1	1	1	1	30	-24	-1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	3	3	4	3	3	5	3	5	3	3	4	5	5	6	8	10	13	16	20	27	36	48	61	80	102	128	160	196	230	270	303	336	364	387	391	390	375	358	326	293	252	216	179	143	115	89	68	52	37	29	22	16	13	9	8	5	5	4	4	4	2	3	3	3	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	2	-1	0	0	1	0	0	0	1	7131
2200	1	1	1	2	1	1	1	1	1	1	1	32	-26	-1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	4	5	6	5	5	7	5	8	6	7	8	10	11	13	16	21	27	34	45	59	78	105	133	174	223	281	349	427	500	588	660	733	796	846	855	853	821	784	716	641	552	473	392	316	251	195	148	114	83	64	47	35	27	19	16	12	10	8	7	6	4	5	4	4	3	3	2	2	1	1	2	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	2	-1	0	0	1	0	0	0	1	15646
2300	2	1	2	2	2	2	2	2	2	2	2	34	-27	-1	2	2	2	2	2	1	2	2	2	3	3	2	3	2	3	3	4	6	6	7	7	7	9	8	11	9	10	12	15	17	20	25	32	41	53	69	91	120	161	206	268	344	434	539	660	772	908	1019	1133	1229	1306	1319	1316	1267	1209	1104	989	851	730	604	487	387	301	229	175	129	98	73	54	42	30	25	19	15	12	11	9	7	7	6	6	4	4	3	3	2	2	2	2	2	2	1	1	0	1	1	1	1	0	1	0	1	1	1	2	-1	0	0	1	0	0	0	1	24157
2400	2	2	2	3	2	2	2	2	2	3	2	36	-27	0	2	2	3	3	3	2	3	3	3	4	4	3	4	3	4	4	5	7	8	9	9	9	12	10	14	12	14	16	19	23	27	34	43	56	72	93	123	162	218	278	362	464	586	729	892	1043	1226	1377	1531	1661	1765	1783	1780	1713	1636	1493	1339	1152	988	817	660	524	407	310	236	175	132	98	73	56	41	33	26	21	17	14	12	9	9	8	7	6	5	4	4	3	3	3	3	2	2	1	2	0	1	1	1	1	0	1	0	1	1	1	2	-1	0	0	1	0	0	0	1	32675
2500	2	2	3	3	3	3	3	3	3	3	3	38	-28	1	3	3	3	3	3	3	3	4	4	4	5	4	5	4	5	6	6	9	10	11	10	11	14	12	16	15	17	21	24	29	34	43	54	70	90	118	155	204	274	351	456	585	739	919	1126	1315	1545	1737	1931	2094	2224	2247	2243	2158	2061	1881	1687	1451	1245	1029	832	660	513	390	297	221	166	124	92	70	52	42	32	26	21	18	15	12	11	10	9	7	7	5	5	4	4	4	3	3	3	2	2	1	2	2	1	2	0	1	0	1	1	1	2	-1	0	0	1	0	0	0	1	41184
2600	3	2	3	4	3	3	3	3	4	4	3	41	-29	1	4	4	4	4	4	4	4	5	5	5	6	5	6	6	6	7	8	10	11	13	12	13	16	15	19	18	21	25	29	35	41	52	65	84	109	142	187	246	331	423	550	707	892	1109	1359	1588	1865	2096	2331	2527	2684	2711	2707	2605	2488	2271	2035	1751	1502	1241	1004	795	619	471	358	266	201	149	111	85	63	51	39	32	26	22	19	15	14	12	11	9	8	6	6	5	4	5	4	3	3	2	3	1	2	2	2	2	0	1	1	1	1	2	3	-1	0	0	1	0	0	0	1	49694
2700	3	3	4	4	4	4	4	4	4	4	4	42	-29	2	4	4	5	5	5	4	5	5	6	6	7	6	7	7	7	8	9	12	13	14	14	15	18	17	22	21	24	29	34	41	48	61	76	99	128	167	219	289	387	496	644	828	1045	1299	1592	1860	2185	2455	2731	2960	3144	3177	3172	3052	2917	2661	2385	2053	1761	1454	1177	932	726	552	420	312	235	175	131	99	74	59	46	37	30	25	22	18	16	14	12	10	9	8	7	6	5	5	5	4	4	3	3	2	3	2	2	2	1	2	1	1	1	2	3	-1	1	1	1	0	0	0	1	58233
2800	3	3	4	5	4	4	4	4	5	5	4	45	-30	2	5	5	5	5	6	5	6	6	7	7	8	7	8	8	8	9	11	13	14	16	16	17	21	20	25	24	28	33	39	47	55	70	87	113	147	191	251	331	444	569	739	949	1198	1489	1825	2133	2506	2815	3131	3393	3605	3643	3637	3499	3344	3050	2735	2354	2019	1668	1350	1069	833	633	481	358	270	201	150	114	85	68	53	43	35	29	25	20	18	15	14	12	11	9	8	7	6	6	5	5	4	3	4	2	3	3	2	3	1	2	1	2	2	2	3	-1	1	1	1	0	0	0	1	66777
2900	4	4	5	5	5	5	5	5	5	5	5	47	-31	3	5	6	6	6	6	6	7	7	8	8	9	8	9	9	9	11	12	15	16	18	18	19	23	22	28	28	31	37	44	53	62	79	99	128	165	216	284	373	501	642	833	1070	1351	1680	2059	2406	2826	3176	3532	3828	4066	4109	4103	3948	3773	3441	3085	2656	2278	1882	1523	1206	940	715	543	404	304	227	169	128	96	77	60	48	39	33	28	23	21	18	16	13	12	10	9	7	7	7	6	5	5	4	4	2	3	3	3	3	1	2	1	2	2	2	3	-1	1	1	2	1	0	0	1	75339
3000	4	4	5	6	5	5	6	5	6	6	6	50	-32	3	6	6	7	7	7	7	7	8	8	9	9	9	10	10	11	12	13	16	17	20	20	21	25	25	31	31	35	42	49	58	70	88	110	142	184	240	316	416	558	715	928	1192	1505	1871	2293	2679	3147	3537	3934	4263	4528	4576	4570	4397	4202	3832	3436	2958	2537	2096	1697	1343	1047	796	605	450	339	252	188	143	107	86	67	54	44	37	31	25	23	20	17	15	13	11	10	8	8	8	7	6	6	4	5	3	4	3	3	3	1	2	2	2	2	3	4	0	1	1	2	1	0	0	1	83915
3100	4	5	6	6	6	6	6	6	6	7	6	51	-33	4	7	7	7	7	8	7	8	9	9	10	10	10	11	11	12	13	15	18	19	21	21	23	28	27	34	34	39	46	54	64	77	96	121	156	203	265	348	458	615	788	1023	1314	1658	2062	2527	2952	3469	3898	4336	4699	4989	5042	5036	4844	4630	4223	3787	3260	2796	2309	1869	1479	1153	877	666	496	373	278	207	157	118	95	74	59	48	40	34	28	25	21	19	16	14	12	11	9	8	8	7	6	6	5	5	3	4	4	3	4	2	3	2	2	2	3	4	0	1	1	2	1	0	0	1	92486
3200	5	5	6	7	6	6	7	6	7	7	7	53	-33	4	7	8	8	8	9	8	9	10	10	11	11	11	12	12	13	14	16	19	21	23	23	25	30	30	37	37	42	50	59	70	84	105	132	171	222	289	380	500	671	861	1117	1435	1811	2251	2760	3225	3789	4258	4736	5132	5450	5508	5502	5292	5059	4614	4138	3562	3055	2523	2043	1617	1260	959	728	543	408	304	227	172	129	103	81	65	53	44	37	31	27	23	21	17	16	13	12	10	9	9	8	7	7	5	6	3	5	4	4	4	2	3	2	3	2	3	4	0	1	1	2	1	0	1	1	101036
3300	5	5	7	7	7	7	7	7	7	8	7	56	-34	5	8	8	9	9	9	9	10	11	11	12	12	12	13	13	14	16	17	21	22	25	25	28	32	32	40	40	46	54	64	76	91	114	143	185	240	314	413	543	728	934	1212	1557	1965	2443	2994	3499	4110	4619	5137	5567	5912	5974	5967	5739	5487	5004	4487	3863	3313	2735	2215	1753	1366	1040	789	588	442	329	246	186	140	112	88	70	57	48	41	33	30	25	22	19	17	14	13	11	10	10	9	8	7	6	6	4	5	5	4	4	2	3	2	3	3	3	5	0	2	1	2	1	0	1	1	109586
