DAQ_time[ms]	CH 000 (Addr. 128)	CH 001 (Addr. 129)	CH 002 (Addr. 130)	CH 003 (Addr. 131)	CH 004 (Addr. 132)	CH 005 (Addr. 133)	CH 006 (Addr. 134)	CH 007 (Addr. 135)	CH 008 (Addr. 136)	CH 009 (Addr. 137)	CH 010 (Addr. 138)	CH 011 (Addr. 139)	CH 012 (Addr. 140)	CH 013 (Addr. 141)	CH 014 (Addr. 142)	CH 015 (Addr. 143)	CH 016 (Addr. 144)	CH 017 (Addr. 145)	CH 018 (Addr. 146)	CH 019 (Addr. 147)	CH 020 (Addr. 148)	CH 021 (Addr. 149)	CH 022 (Addr. 150)	CH 023 (Addr. 151)	CH 024 (Addr. 152)	CH 025 (Addr. 153)	CH 026 (Addr. 154)	CH 027 (Addr. 155)	CH 028 (Addr. 156)	CH 029 (Addr. 157)	CH 030 (Addr. 158)	CH 031 (Addr. 160)	CH 032 (Addr. 161)	CH 033 (Addr. 162)	CH 034 (Addr. 163)	CH 035 (Addr. 164)	CH 036 (Addr. 165)	CH 037 (Addr. 166)	CH 038 (Addr. 167)	CH 039 (Addr. 168)	CH 040 (Addr. 169)	CH 041 (Addr. 170)	CH 042 (Addr. 171)	CH 043 (Addr. 172)	CH 044 (Addr. 173)	CH 045 (Addr. 174)	CH 046 (Addr. 175)	CH 047 (Addr. 176)	CH 048 (Addr. 177)	CH 049 (Addr. 178)	CH 050 (Addr. 179)	CH 051 (Addr. 180)	CH 052 (Addr. 181)	CH 053 (Addr. 182)	CH 054 (Addr. 183)	CH 055 (Addr. 184)	CH 056 (Addr. 185)	CH 057 (Addr. 186)	CH 058 (Addr. 187)	CH 059 (Addr. 188)	CH 060 (Addr. 189)	CH 061 (Addr. 190)	CH 062 (Addr. 191)	CH 063 (Addr. 224)	CH 064 (Addr. 225)	CH 065 (Addr. 226)	CH 066 (Addr. 227)	CH 067 (Addr. 228)	CH 068 (Addr. 229)	CH 069 (Addr. 230)	CH 070 (Addr. 231)	CH 071 (Addr. 232)	CH 072 (Addr. 233)	CH 073 (Addr. 234)	CH 074 (Addr. 235)	CH 075 (Addr. 236)	CH 076 (Addr. 237)	CH 077 (Addr. 238)	CH 078 (Addr. 239)	CH 079 (Addr. 240)	CH 080 (Addr. 241)	CH 081 (Addr. 242)	CH 082 (Addr. 243)	CH 083 (Addr. 244)	CH 084 (Addr. 245)	CH 085 (Addr. 246)	CH 086 (Addr. 247)	CH 087 (Addr. 248)	CH 088 (Addr. 249)	CH 089 (Addr. 250)	CH 090 (Addr. 251)	CH 091 (Addr. 252)	CH 092 (Addr. 253)	CH 093 (Addr. 254)	CH 094 (Addr. 255)	CH 095 (Addr. 192)	CH 096 (Addr. 193)	CH 097 (Addr. 194)	CH 098 (Addr. 195)	CH 099 (Addr. 196)	CH 100 (Addr. 197)	CH 101 (Addr. 198)	CH 102 (Addr. 199)	CH 103 (Addr. 200)	CH 104 (Addr. 201)	CH 105 (Addr. 202)	CH 106 (Addr. 203)	CH 107 (Addr. 204)	CH 108 (Addr. 205)	CH 109 (Addr. 206)	CH 110 (Addr. 207)	CH 111 (Addr. 208)	CH 112 (Addr. 209)	CH 113 (Addr. 210)	CH 114 (Addr. 211)	CH 115 (Addr. 212)	CH 116 (Addr. 213)	CH 117 (Addr. 214)	CH 118 (Addr. 215)	CH 119 (Addr. 216)	CH 120 (Addr. 217)	CH 121 (Addr. 218)	CH 122 (Addr. 219)	CH 123 (Addr. 220)	CH 124 (Addr. 221)	CH 125 (Addr. 222)	CH 126 (Addr. 223)	CH 127 (Addr. 159)
2200	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	2	2	1	3	2	3	5	5	5	6	6	8	9	10	12	15	20	24	32	42	56	74	99	131	172	222	283	353	436	523	611	705	789	859	910	946	954	934	886	838	752	671	576	486	400	320	252	197	149	112	84	64	48	35	27	22	17	13	11	9	7	7	6	5	4	3	4	4	3	4	3	2	2	0	2	1	-1	1	-1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	14397
2300	1	0	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	2	2	2	3	3	2	4	4	4	7	7	8	9	9	12	14	15	19	23	30	37	50	65	87	114	152	202	265	342	438	545	673	808	943	1088	1219	1326	1405	1461	1473	1442	1367	1293	1160	1036	890	751	617	494	389	304	230	173	130	98	74	55	42	33	26	20	17	14	11	10	9	8	7	5	6	5	4	5	4	4	3	1	3	2	0	1	0	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	22247
2400	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	2	1	2	2	2	2	3	3	4	4	3	5	5	6	9	9	10	12	13	15	18	21	26	32	41	51	67	88	118	155	206	273	359	463	591	737	910	1092	1275	1472	1648	1793	1900	1977	1993	1951	1850	1749	1569	1401	1204	1016	834	669	527	411	312	235	176	133	100	75	57	45	35	28	23	19	16	14	12	11	9	7	8	7	6	6	5	5	5	2	4	3	1	2	1	2	2	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	-2	30099
2500	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	4	4	5	5	4	7	7	8	11	11	13	15	16	19	23	27	33	40	52	64	85	110	148	195	259	344	453	583	746	929	1147	1377	1607	1856	2078	2260	2395	2492	2513	2460	2331	2204	1979	1766	1518	1280	1052	844	664	519	393	296	222	168	126	94	72	57	44	35	29	24	20	18	16	13	11	9	10	9	7	7	7	6	6	4	5	4	1	3	1	3	2	2	1	2	2	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	-2	37943
2600	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	4	4	4	6	6	6	8	8	9	13	13	15	18	19	23	28	32	39	48	62	77	103	133	179	236	313	416	546	704	900	1121	1384	1662	1939	2240	2508	2727	2891	3007	3033	2969	2813	2660	2388	2132	1831	1545	1270	1019	802	626	474	357	268	202	152	114	87	68	54	42	35	29	24	21	19	16	14	11	12	10	9	9	8	7	7	4	6	5	2	3	2	3	3	2	2	2	2	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	-2	45797
2700	1	0	1	1	0	1	1	1	2	1	1	1	2	1	2	2	2	3	3	3	3	4	4	5	5	7	7	7	9	10	11	15	15	18	21	23	27	32	38	46	57	73	91	121	157	210	276	367	487	640	825	1054	1314	1622	1947	2272	2625	2939	3196	3388	3525	3554	3479	3297	3118	2798	2497	2146	1811	1488	1194	940	733	556	419	315	237	178	133	102	80	63	50	41	34	28	25	22	19	16	13	14	12	10	10	9	9	8	5	7	6	3	4	2	4	3	2	2	3	2	1	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	-2	53669
2800	1	0	2	1	0	1	2	1	2	1	1	2	2	2	2	3	3	3	3	4	4	4	5	6	6	8	8	8	11	11	13	17	18	20	24	26	31	37	44	53	65	84	104	138	180	241	317	421	559	734	946	1209	1507	1860	2233	2605	3010	3370	3665	3885	4041	4076	3990	3780	3575	3208	2864	2461	2076	1706	1369	1078	841	637	480	361	272	204	153	117	92	72	57	48	39	33	28	25	22	19	15	16	14	12	11	11	10	9	7	8	6	3	5	3	5	4	3	3	3	3	2	2	1	2	1	1	1	1	1	1	1	0	0	0	1	0	-2	61540
2900	1	1	2	1	1	1	2	1	2	1	1	2	2	2	3	3	3	4	4	4	5	5	6	7	7	9	9	9	12	13	15	19	20	23	26	30	35	42	49	60	74	95	118	156	203	272	357	475	630	828	1067	1364	1699	2098	2518	2939	3395	3801	4133	4381	4558	4597	4501	4264	4032	3619	3231	2776	2342	1924	1544	1216	949	719	542	407	307	230	172	132	104	82	65	54	44	37	32	28	24	21	17	18	16	13	13	12	11	10	7	9	7	4	6	4	5	5	3	3	3	3	2	3	2	2	1	2	1	1	1	1	1	0	1	0	1	0	-2	69413
3000	1	1	2	1	1	1	2	2	2	2	2	2	2	2	3	3	4	4	4	5	5	6	7	7	8	10	10	10	14	14	17	20	22	25	29	33	39	47	55	67	82	105	131	174	226	303	398	529	702	922	1189	1519	1893	2336	2805	3273	3781	4233	4603	4879	5076	5120	5014	4749	4491	4030	3598	3091	2609	2143	1721	1354	1057	801	603	454	342	256	192	148	115	91	72	60	49	41	36	32	27	23	19	20	17	15	14	13	12	12	8	9	8	5	6	4	6	5	4	4	4	4	2	3	2	2	2	2	1	1	1	2	1	1	1	0	1	1	-2	77310
3100	1	1	2	1	1	1	2	2	2	2	2	2	3	2	3	4	4	5	4	5	6	6	7	8	9	11	12	12	15	16	18	22	24	28	32	36	43	51	61	74	90	116	145	191	249	333	438	582	774	1016	1310	1674	2085	2574	3090	3607	4166	4664	5072	5377	5594	5642	5525	5234	4950	4442	3966	3407	2875	2362	1897	1492	1164	883	665	500	377	282	212	163	127	100	80	66	54	45	39	35	30	26	21	21	19	17	15	15	14	13	9	10	9	5	7	5	7	6	4	4	4	4	2	3	2	2	2	2	1	1	1	2	1	1	1	0	1	1	-2	85194
3200	1	1	2	1	1	1	2	2	3	2	2	2	3	3	3	4	4	5	5	6	6	7	8	9	10	12	13	13	16	18	20	24	26	30	35	40	47	56	66	81	99	127	158	209	272	364	479	636	845	1110	1431	1828	2278	2811	3376	3940	4551	5095	5541	5874	6112	6164	6035	5718	5408	4853	4333	3723	3141	2580	2073	1630	1272	965	726	546	412	308	231	178	139	110	87	72	59	50	43	38	33	28	23	24	21	18	17	16	15	14	11	12	10	6	8	5	7	6	5	4	5	5	3	3	2	3	2	2	2	2	1	2	2	1	1	0	1	1	-2	93068
3300	1	1	2	1	1	1	2	2	3	2	2	3	3	3	4	4	5	6	5	6	7	8	9	10	10	13	14	14	18	19	22	26	28	33	38	43	51	61	72	88	107	138	172	227	295	395	519	690	917	1204	1551	1983	2470	3049	3661	4274	4936	5527	6009	6371	6630	6687	6546	6203	5867	5264	4701	4038	3407	2799	2249	1769	1380	1046	788	593	447	334	251	193	151	119	95	78	65	54	47	41	36	31	25	25	23	20	18	17	16	15	12	12	11	7	8	6	8	7	5	5	5	5	3	4	3	3	2	3	2	2	2	2	2	1	1	0	1	1	-2	100941
3400	2	1	2	1	1	1	3	2	3	2	2	3	4	3	4	5	5	6	6	7	8	8	9	11	11	14	15	15	19	21	24	28	31	35	41	46	55	65	77	95	116	149	185	244	318	426	560	744	988	1298	1672	2137	2663	3287	3946	4607	5321	5958	6478	6868	7147	7208	7057	6687	6324	5674	5067	4353	3673	3017	2424	1907	1488	1128	850	639	482	360	271	208	163	128	103	84	70	58	51	44	38	33	28	28	24	21	20	19	18	16	13	13	12	7	9	6	8	7	6	5	6	5	4	4	3	3	3	3	2	2	2	2	2	1	1	0	1	1	-2	108815
3500	2	1	2	1	1	1	3	2	3	3	3	3	4	3	4	5	5	6	6	7	8	9	10	11	12	14	16	16	20	22	25	30	32	37	43	48	57	68	81	99	121	155	193	254	331	444	583	774	1029	1352	1741	2225	2773	3423	4109	4797	5541	6205	6746	7152	7442	7506	7349	6964	6586	5909	5277	4533	3825	3142	2525	1986	1549	1175	885	665	502	375	282	217	169	134	107	88	72	61	53	46	40	35	29	29	25	22	20	20	18	17	13	14	12	8	9	7	9	8	6	5	6	6	4	4	3	4	3	3	2	2	2	2	2	1	1	0	1	1	-2	113317
3600	2	1	2	2	1	1	3	3	3	3	3	3	4	4	4	5	6	6	6	7	8	9	10	11	12	14	16	16	20	22	25	30	32	37	43	48	57	68	81	99	121	155	193	255	331	444	583	775	1029	1352	1742	2225	2773	3423	4109	4797	5541	6205	6746	7152	7442	7506	7349	6964	6586	5909	5277	4533	3825	3142	2525	1986	1549	1175	885	666	502	376	282	217	169	134	107	88	73	61	53	47	40	35	29	29	26	23	21	20	19	17	13	14	12	8	10	7	9	8	6	6	6	6	4	5	3	4	3	3	2	2	2	2	2	1	1	0	1	1	-2	113317
3700	2	1	2	2	1	1	3	3	3	3	3	3	4	4	4	5	6	6	6	7	8	9	10	11	12	14	16	16	20	22	25	29	32	37	43	48	57	68	81	99	121	155	193	255	331	444	583	775	1029	1352	1742	2225	2773	3423	4109	4797	5541	6205	6746	7152	7442	7506	7349	6964	6586	5909	5277	4533	3825	3142	2525	1986	1549	1175	885	666	502	376	282	217	169	134	107	88	73	61	53	47	40	35	29	29	26	23	21	20	19	17	13	14	12	8	10	7	9	8	6	6	6	6	4	5	3	4	3	3	2	2	2	2	2	1	1	0	1	1	-2	113317
3800	2	1	2	2	1	1	3	3	3	3	3	3	4	4	4	5	6	6	6	7	8	9	10	11	12	14	16	16	20	22	25	29	32	37	43	48	57	68	81	99	121	155	193	255	331	444	583	775	1029	1352	1742	2225	2773	3423	4109	4797	5541	6205	6746	7152	7442	7506	7349	6964	6586	5909	5277	4533	3825	3142	2525	1986	1549	1175	885	666	502	376	282	217	169	134	107	88	73	61	53	47	40	35	29	29	26	23	21	20	19	17	13	14	12	8	10	7	9	8	6	6	6	6	4	5	3	4	3	3	2	2	2	2	2	1	1	0	1	1	-2	113317
