DAQ_time[ms]	CH 000 (Addr. 0)	CH 001 (Addr. 1)	CH 002 (Addr. 2)	CH 003 (Addr. 3)	CH 004 (Addr. 4)	CH 005 (Addr. 5)	CH 006 (Addr. 6)	CH 007 (Addr. 7)	CH 008 (Addr. 8)	CH 009 (Addr. 9)	CH 010 (Addr. 10)	CH 011 (Addr. 11)	CH 012 (Addr. 12)	CH 013 (Addr. 13)	CH 014 (Addr. 14)	CH 015 (Addr. 15)	CH 016 (Addr. 16)	CH 017 (Addr. 17)	CH 018 (Addr. 18)	CH 019 (Addr. 19)	CH 020 (Addr. 20)	CH 021 (Addr. 21)	CH 022 (Addr. 22)	CH 023 (Addr. 23)	CH 024 (Addr. 24)	CH 025 (Addr. 25)	CH 026 (Addr. 26)	CH 027 (Addr. 27)	CH 028 (Addr. 28)	CH 029 (Addr. 29)	CH 030 (Addr. 30)	CH 031 (Addr. 31)	CH 032 (Addr. 32)	CH 033 (Addr. 33)	CH 034 (Addr. 34)	CH 035 (Addr. 35)	CH 036 (Addr. 36)	CH 037 (Addr. 37)	CH 038 (Addr. 38)	CH 039 (Addr. 39)	CH 040 (Addr. 40)	CH 041 (Addr. 41)	CH 042 (Addr. 42)	CH 043 (Addr. 43)	CH 044 (Addr. 44)	CH 045 (Addr. 45)	CH 046 (Addr. 46)	CH 047 (Addr. 47)	CH 048 (Addr. 48)	CH 049 (Addr. 49)	CH 050 (Addr. 50)	CH 051 (Addr. 51)	CH 052 (Addr. 52)	CH 053 (Addr. 53)	CH 054 (Addr. 54)	CH 055 (Addr. 55)	CH 056 (Addr. 56)	CH 057 (Addr. 57)	CH 058 (Addr. 58)	CH 059 (Addr. 59)	CH 060 (Addr. 60)	CH 061 (Addr. 61)	CH 062 (Addr. 62)	CH 063 (Addr. 63)	CH 064 (Addr. 64)	CH 065 (Addr. 65)	CH 066 (Addr. 66)	CH 067 (Addr. 67)	CH 068 (Addr. 68)	CH 069 (Addr. 69)	CH 070 (Addr. 70)	CH 071 (Addr. 71)	CH 072 (Addr. 72)	CH 073 (Addr. 73)	CH 074 (Addr. 74)	CH 075 (Addr. 75)	CH 076 (Addr. 76)	CH 077 (Addr. 77)	CH 078 (Addr. 78)	CH 079 (Addr. 79)	CH 080 (Addr. 80)	CH 081 (Addr. 81)	CH 082 (Addr. 82)	CH 083 (Addr. 83)	CH 084 (Addr. 84)	CH 085 (Addr. 85)	CH 086 (Addr. 86)	CH 087 (Addr. 87)	CH 088 (Addr. 88)	CH 089 (Addr. 89)	CH 090 (Addr. 90)	CH 091 (Addr. 91)	CH 092 (Addr. 92)	CH 093 (Addr. 93)	CH 094 (Addr. 94)	CH 095 (Addr. 95)	CH 096 (Addr. 96)	CH 097 (Addr. 97)	CH 098 (Addr. 98)	CH 099 (Addr. 99)	CH 100 (Addr. 100)	CH 101 (Addr. 101)	CH 102 (Addr. 102)	CH 103 (Addr. 103)	CH 104 (Addr. 104)	CH 105 (Addr. 105)	CH 106 (Addr. 106)	CH 107 (Addr. 107)	CH 108 (Addr. 108)	CH 109 (Addr. 109)	CH 110 (Addr. 110)	CH 111 (Addr. 111)	CH 112 (Addr. 112)	CH 113 (Addr. 113)	CH 114 (Addr. 114)	CH 115 (Addr. 115)	CH 116 (Addr. 116)	CH 117 (Addr. 117)	CH 118 (Addr. 118)	CH 119 (Addr. 119)	CH 120 (Addr. 120)	CH 121 (Addr. 121)	CH 122 (Addr. 122)	CH 123 (Addr. 123)	CH 124 (Addr. 124)	CH 125 (Addr. 125)	CH 126 (Addr. 126)	CH 127 (Addr. 127)
1000	169217	191672	185579	181970	189347	189697	161380	237646	183621	217001	214072	212499	204352	223403	209196	246210	216292	211770	234543	225642	235866	210798	238901	229077	290512	248681	249492	253127	260287	279894	284940	292599	386774	302915	317791	312151	366595	376531	424709	453272	726356	645052	713369	456149	139872	9626	364	276	288	283	221	244	218	208	212	192	228	194	177	178	171	163	161	156	161	143	136	153	129	121	115	114	127	106	108	94	100	93	96	99	104	86	81	81	73	71	72	75	86	80	68	64	63	57	59	63	81	57	54	52	60	49	49	56	56	45	52	42	43	47	37	37	42	40	34	39	34	33	46	35	52	31	33	32	29	32	28	28
2000	339102	384116	371931	364695	379492	380193	323437	476265	368018	434907	429050	425890	409556	447753	419257	493406	433499	424408	470070	452212	472734	422450	478812	459075	582275	498426	500028	507329	521654	560985	571085	586458	775141	607072	636906	625602	734722	754625	851198	908398	1455567	1292638	1429787	914490	280507	19310	741	561	589	577	455	495	445	425	431	389	471	395	358	369	351	333	329	317	332	289	277	309	263	246	234	229	262	217	222	193	206	193	194	201	215	178	163	170	149	147	148	152	180	165	144	131	134	120	120	130	167	119	111	108	124	101	102	117	118	92	112	88	89	98	79	77	90	83	73	78	73	71	95	70	109	63	74	63	62	67	59	59
3000	508851	576422	558130	547275	569490	570555	485379	714727	552301	652662	643893	639126	614618	671952	629181	740441	650562	636901	705457	678601	709446	633943	718540	688901	873797	747964	750358	761298	782794	841786	856930	879980	1163250	911004	955782	938819	1102577	1132409	1277326	1363147	2184143	1939641	2145749	1372683	421222	29018	1113	843	886	868	685	744	673	642	649	585	709	595	541	543	527	499	496	476	499	435	419	464	395	372	353	344	396	328	334	292	309	292	295	303	323	270	245	258	226	223	227	229	272	249	217	196	202	182	181	198	251	180	168	162	187	152	155	176	179	139	171	133	135	149	120	118	138	126	112	117	112	108	144	107	166	96	113	94	95	101	90	91
4000	678606	768724	744332	729855	759473	760911	647315	953169	736555	870407	858696	852344	819673	896127	839073	987448	867589	849371	940817	904979	946136	845445	958251	918714	1165313	997485	1000686	1015281	1043968	1122640	1142841	1173599	1551311	1214923	1274623	1252015	1470378	1510171	1703444	1817854	2912598	2586568	2861702	1830928	562002	38729	1489	1128	1186	1163	916	996	901	862	871	784	950	796	722	735	705	667	665	637	668	585	562	622	528	498	471	462	531	439	449	391	413	391	395	407	433	362	329	346	305	299	304	308	365	335	292	264	270	246	242	265	335	240	225	217	252	205	208	237	241	188	231	181	182	200	164	159	186	170	153	158	151	145	194	144	224	130	153	126	129	136	122	123
5000	848532	961223	930713	912608	949635	951460	809408	1191863	921003	1088389	1073750	1065785	1024934	1120550	1049200	1234724	1084855	1062086	1176414	1131603	1183070	1057151	1198221	1148767	1457118	1247265	1251257	1269514	1305382	1403744	1429009	1467472	1939807	1519164	1593816	1565547	1838580	1888316	2129982	2273022	3641847	3234160	3578465	2289649	702932	48455	1864	1412	1483	1454	1145	1247	1126	1075	1088	983	1186	995	903	912	879	832	830	795	833	730	701	777	659	622	589	578	663	548	561	489	515	488	494	508	540	453	412	429	380	373	380	383	455	418	363	329	336	306	302	330	416	300	280	270	313	254	259	297	299	233	287	226	226	248	202	199	232	211	189	197	187	181	240	179	279	161	188	156	159	170	151	152
6000	1018385	1153606	1116979	1095246	1139702	1141890	971403	1430382	1105332	1306195	1288619	1279085	1230060	1344785	1259167	1481822	1301969	1274656	1411859	1358080	1419845	1268734	1438042	1378664	1748731	1496903	1501678	1523617	1566672	1684729	1715062	1761251	2327999	1823195	1912804	1878873	2206528	2266187	2556203	2727862	4370549	3881284	4294666	2747953	843764	58192	2239	1696	1783	1750	1377	1500	1351	1294	1308	1182	1426	1195	1085	1092	1059	1000	998	956	999	877	842	933	790	747	707	693	800	660	673	587	618	589	594	609	649	545	495	517	456	449	457	460	548	502	437	395	403	368	363	395	499	359	337	323	376	305	312	355	360	280	345	271	271	298	243	239	279	254	228	237	225	218	289	215	335	194	226	187	192	204	182	184
7000	1188017	1345747	1303021	1277654	1329527	1332062	1133214	1668576	1289419	1523710	1503205	1492107	1434919	1568742	1468860	1728569	1518776	1486950	1646967	1584236	1656277	1480030	1677505	1608264	2039946	1746211	1751785	1777370	1827600	1965290	2000666	2054552	2715612	2126806	2231315	2191750	2573935	2643476	2981779	3182008	5098228	4527431	5009757	3205442	984336	67910	2615	1983	2082	2045	1611	1753	1581	1515	1530	1382	1668	1398	1271	1281	1238	1169	1168	1120	1166	1025	985	1088	925	871	827	810	934	772	789	687	721	688	694	714	758	638	580	604	535	526	534	538	641	586	512	463	471	431	425	465	583	420	395	379	441	358	364	416	421	329	404	318	318	351	284	279	327	298	267	277	263	254	339	253	394	227	266	218	225	241	214	215
